facility_id,facility_name,line_name,station_code,station_name,station_number,data_date,direction,exit_number_or_inside,start_floor_type,start_floor,start_floor_detail,end_floor_type,end_floor,end_floor_detail,width_mm,operating_status
1141457,승강기)에스컬레이터-왕십리 외선 7-1 상행4,2호선,0208,왕십리,208,20210527,상행,내부,지하,B2,상왕십리 방면7-1,지하,B1,상왕십리 방면7-1,800,M
1041660,승강기)에스컬레이터-구의 1번출구 하행1,2호선,0213,구의,213,20210527,하행,1,지상,2,1번 출입구,지상,1,1번 출입구,1200,M
1141458,승강기)에스컬레이터-왕십리 내선 2-3 하행5,2호선,0208,왕십리,208,20210527,하행,내부,지하,B1,한양대 방면2-3,지하,B2,한양대 방면2-3,800,M
1041661,승강기)에스컬레이터-구의 1번출구 상행2,2호선,0213,구의,213,20210527,상행,1,지상,1,1번 출입구,지상,2,1번 출입구,1200,M
1141459,승강기)에스컬레이터-왕십리 내선 2-3 상행6,2호선,0208,왕십리,208,20210527,상행,내부,지하,B2,한양대 방면2-3,지하,B1,한양대 방면2-3,800,M
1041662,승강기)에스컬레이터-동역사(2) 3번출구 1호기,2호선,0205,동대문역사문화공원,205,20210527,하행,3,지상,1,3번 출입구,지하,B1,3번 출입구,800,M
1141460,승강기)에스컬레이터-왕십리 내선 3-1 하행7,2호선,0208,왕십리,208,20210527,하행,내부,지하,B1,한양대 방면3-1,지하,B2,한양대 방면3-1,1200,M
1041663,승강기)에스컬레이터-동역사(2) 3번출구 2호기,2호선,0205,동대문역사문화공원,205,20210527,상행,3,지하,B1,3번 출입구,지상,1,3번 출입구,800,M
1141461,승강기)에스컬레이터-왕십리 내선 3-1 상행8,2호선,0208,왕십리,208,20210527,상행,내부,지하,B2,한양대 방면3-1,지하,B1,한양대 방면3-1,1200,M
1041668,승강기)에스컬레이터-성수 3번출구 5호기,2호선,0211,성수,211,20210527,하행,3,지상,2,3번 출입구,지상,1,3번 출입구,1200,M
1141463,승강기)에스컬레이터-구로디지털단지 2번출구 상행1,2호선,0232,구로디지털단지,232,20210527,상행,2,지상,1,2번 출입구,지상,2,2번 출입구,1200,M
1041669,승강기)에스컬레이터-성수 3번출구 6호기,2호선,0211,성수,211,20210527,상행,3,지상,1,3번 출입구,지상,2,3번 출입구,1200,M
1141464,승강기)에스컬레이터-구로디지털단지 3번출구 하행2,2호선,0232,구로디지털단지,232,20210527,하행,3,지상,2,3번 출입구,지상,1,3번 출입구,1200,M
1041670,승강기)에스컬레이터-성수 4번출구 7호기,2호선,0211,성수,211,20210527,하행,4,지상,2,4번 출입구,지상,1,4번 출입구,1200,M
1041671,승강기)에스컬레이터-성수 4번출구 8호기,2호선,0211,성수,211,20210527,상행,4,지상,1,4번 출입구,지상,2,4번 출입구,1200,M
1143612,승강기)에스컬레이터-시청(2) 서울역방향 1-4 근접 3호기,2호선,0201,시청,201,20210527,하행,내부,지하,B1,연결통로(1호선 서울역 방면),지하,B2,연결통로(1호선 서울역 방면),1200,M
1041672,승강기)에스컬레이터-건대입구 6번출구 하행1,2호선,0212,건대입구,212,20210527,하행,6,지상,2,6번 출입구,지상,1,6번 출입구,800,M
1143613,승강기)에스컬레이터-시청(2) 서울역방향 1-4 근접 4호기,2호선,0201,시청,201,20210527,상행,내부,지하,B2,연결통로(1호선 서울역 방면),지하,B1,연결통로(1호선 서울역 방면),1200,M
1041673,승강기)에스컬레이터-건대입구 6번출구 상행2,2호선,0212,건대입구,212,20210527,상행,6,지상,1,6번 출입구,지상,2,6번 출입구,800,S
